wl	n
18.8679	0.059
19.2308	0.069
19.6078	0.086
20.0000	0.102
20.4082	0.107
20.8333	0.111
21.2766	0.141
21.7391	0.182
22.2222	0.282
22.7273	0.474
23.2558	0.736
23.8095	1.023
24.3902	1.331
25.0000	1.668
25.6410	2.069
26.3158	2.559
27.0270	3.157
27.7778	3.997
28.5714	4.448
29.4118	1.998
30.3030	0.621
31.2500	0.270
32.2581	0.168
33.3333	0.149
34.4828	0.212
35.7143	0.451
37.0370	1.262
38.4615	2.324
40.0000	0.000
