wl	n
3.215E+000	2.380E-001
3.236E+000	1.930E-001
3.257E+000	1.580E-001
3.279E+000	1.210E-001
3.300E+000	1.030E-001
3.322E+000	8.360E-002
3.345E+000	6.680E-002
3.367E+000	5.312E-002
3.390E+000	4.286E-002
3.413E+000	3.523E-002
3.436E+000	2.887E-002
3.460E+000	2.347E-002
3.484E+000	1.921E-002
3.509E+000	1.586E-002
3.534E+000	1.326E-002
3.559E+000	1.130E-002
3.624E+000	8.146E-003
3.732E+000	6.672E-003
3.775E+000	6.966E-003
3.847E+000	8.248E-003
3.969E+000	1.112E-002
4.099E+000	1.471E-002
4.239E+000	1.867E-002
4.348E+000	2.411E-002
4.387E+000	2.656E-002
4.444E+000	2.990E-002
4.505E+000	3.179E-002
4.547E+000	3.090E-002
4.560E+000	3.007E-002
4.580E+000	2.883E-002
4.719E+000	1.940E-002
4.904E+000	1.347E-002
5.000E+000	1.240E-002
5.100E+000	1.220E-002
5.200E+000	1.302E-002
5.263E+000	1.380E-002
5.400E+000	1.683E-002
5.556E+000	2.232E-002
5.714E+000	3.256E-002
5.747E+000	3.539E-002
5.780E+000	3.883E-002
5.814E+000	4.270E-002
5.848E+000	4.643E-002
5.882E+000	5.045E-002
6.061E+000	6.439E-002
6.135E+000	6.560E-002
6.250E+000	6.360E-002
6.289E+000	6.265E-002
6.329E+000	6.170E-002
6.369E+000	6.101E-002
6.410E+000	6.031E-002
6.452E+000	5.964E-002
6.494E+000	5.899E-002
6.579E+000	5.780E-002
6.667E+000	5.700E-002
6.757E+000	5.680E-002
6.897E+000	5.428E-002
7.042E+000	5.161E-002
7.143E+000	4.940E-002
7.246E+000	4.840E-002
7.353E+000	4.600E-002
7.463E+000	4.440E-002
7.576E+000	4.290E-002
7.692E+000	4.041E-002
7.812E+000	3.911E-002
7.937E+000	3.819E-002
8.065E+000	3.760E-002
8.197E+000	3.724E-002
8.333E+000	3.700E-002
8.475E+000	3.677E-002
8.696E+000	3.654E-002
8.929E+000	3.664E-002
9.091E+000	3.706E-002
