ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
283.0052943,62.0351407,0.5556,0.5374,0.0977,15.883,0.188,5.8,1.465E+00,15.060,null,-0.5,5.800E-01,1,0,0000,BU,10,58420.77256424,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.201349,264.133822
283.0053209,62.0350361,0.9378,0.7608,-0.1124,15.897,0.348,3.1,1.098E+00,15.073,0.344,3.2,5.084E-01,1,0,0000,BB,10,56979.36580752,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.212281,258.969224
283.0055129,62.0347525,0.8847,0.6224,-0.0462,15.932,0.257,4.2,9.110E-01,14.779,null,1.6,2.348E-01,1,0,0000,BU,10,57889.75819822,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.225706,244.383960
283.0055400,62.0347235,1.3430,0.9783,0.3371,16.396,0.391,2.8,8.272E-01,14.872,null,1.4,7.099E-01,1,0,0000,CU,10,59153.76396899,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.231126,242.841157
283.0063712,62.0342772,0.3648,0.2993,-0.1054,15.040,0.122,8.9,1.332E+00,15.584,0.536,2.0,1.015E+00,1,0,0000,BC,10,58784.90901981,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.253735,213.720833
283.0060322,62.0343956,0.6439,0.5675,0.1067,15.899,0.200,5.4,1.657E+00,14.773,null,1.7,5.499E-01,1,0,0000,BU,5,58619.47748926,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.276694,223.312894
283.0054952,62.0347307,0.6359,0.5843,0.0620,15.760,0.180,6.0,8.175E-01,14.927,null,1.1,3.833E-01,1,0,0000,BU,10,58258.03391986,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.286971,243.610824
283.0060423,62.0343793,0.9330,0.7378,-0.3105,16.137,0.242,4.5,8.750E-01,14.663,null,1.6,2.535E-01,1,0,0000,BU,10,58060.56310080,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.308016,222.612522
283.0057572,62.0345140,0.5621,0.5669,0.0943,15.665,0.182,6.0,8.606E-01,15.254,0.383,2.8,5.068E-01,1,0,0000,BC,10,58782.68480971,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.331096,231.679349
283.0062792,62.0342783,0.7939,0.6641,-0.2500,16.226,0.251,4.3,6.899E-01,15.352,0.424,2.6,6.952E-01,1,0,0000,BC,10,56794.20587115,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.338650,215.456129
283.0058227,62.0344541,0.8236,0.7937,0.2632,16.161,0.243,4.5,1.039E+00,15.208,null,0.9,1.163E+00,1,0,0000,BU,10,58785.95561331,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.384511,228.571046
283.0053459,62.0348084,0.6130,0.6550,0.1631,15.632,0.193,5.6,7.440E-01,14.620,null,1.8,5.522E-01,1,0,0000,BU,10,57893.55554238,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.403366,248.334262
283.0056576,62.0345304,0.5553,0.4693,-0.0243,15.513,0.183,5.9,7.504E-01,15.277,0.524,2.1,1.151E+00,1,0,0000,BC,5,58983.28658440,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.428960,233.627747
283.0060404,62.0343319,0.4964,0.4357,-0.1021,15.670,0.145,7.5,8.780E-01,15.017,null,1.7,8.384E-01,1,0,0000,BU,10,57338.55688619,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.437217,221.151108
283.0057592,62.0344660,1.0911,0.9490,-0.4429,16.209,0.277,3.9,1.140E+00,15.571,null,0.3,7.133E-01,1,0,0000,BU,10,56801.04937947,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.437733,229.901715
283.0051394,62.0351762,1.2558,1.2973,0.5473,16.607,0.434,2.5,9.572E-01,15.273,null,0.9,3.189E-01,1,0,0000,CU,10,57160.84773872,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.451066,266.114845
283.0053463,62.0347598,0.8821,0.9125,-0.4480,16.512,0.365,3.0,5.789E-01,15.016,0.365,3.0,5.568E-01,1,0,0000,CC,10,58059.90845638,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.470305,246.246600
283.0055006,62.0346176,0.6100,0.6135,-0.3794,15.804,0.214,5.1,9.888E-01,15.071,null,1.4,5.415E-01,1,0,0000,BU,10,58419.59468862,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.475008,238.883813
283.0054093,62.0346925,0.5909,0.5360,-0.1327,15.847,0.180,6.0,1.126E+00,15.313,0.422,2.6,1.256E+00,1,0,0000,BC,10,58054.93323426,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.478384,242.859429
283.0057004,62.0344557,0.7507,0.7410,-0.2525,16.253,0.241,4.5,1.003E+00,14.584,null,1.8,8.927E-01,1,0,0000,BU,5,57893.29373568,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.537687,230.350925
283.0062501,62.0342179,0.5035,0.4563,-0.1410,15.642,0.145,7.5,8.254E-01,14.995,null,1.8,5.145E-01,1,0,0000,BU,10,56977.39359568,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.545084,214.370538
283.0065521,62.0341336,0.8230,0.7751,-0.2878,16.279,0.274,4.0,6.675E-01,15.301,0.464,2.3,5.262E-01,1,0,0000,BC,10,57336.58950987,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.546492,206.886894
283.0057152,62.0344405,0.9129,0.7756,-0.3717,16.105,0.245,4.4,6.767E-01,15.218,null,0.7,5.251E-01,1,0,0000,BU,10,58783.20816811,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.553737,229.620201
283.0059619,62.0343171,0.5098,0.4763,-0.2440,15.875,0.191,5.7,1.885E+00,15.337,0.383,2.8,1.217E+00,1,0,0000,BC,10,57890.02013231,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.564999,221.963563
283.0055511,62.0345178,0.6488,0.5483,0.0975,15.893,0.184,5.9,9.964E-01,15.111,null,1.4,3.504E-01,1,0,0000,BU,10,59153.37164098,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.601156,234.500752
283.0053780,62.0346375,0.6282,0.5558,0.1216,16.041,0.226,4.8,1.227E+00,14.782,0.239,4.5,9.719E-01,1,0,0000,BB,10,57159.14153863,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.618239,240.972210
283.0050814,62.0350015,0.5217,0.4704,0.0177,15.695,0.162,6.7,6.438E-01,14.688,0.281,3.9,1.170E+00,1,0,0000,BB,5,58987.07984659,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.633175,258.414182
283.0052236,62.0347750,0.5542,0.5090,-0.2138,15.517,0.215,5.1,1.933E+00,15.063,null,1.5,6.812E-01,1,0,0000,BU,10,57697.54240194,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.639772,247.895724
283.0056521,62.0344336,0.5459,0.4678,-0.1488,15.742,0.161,6.8,8.071E-01,15.353,null,-0.2,7.318E-01,1,0,0000,BU,5,58258.81921295,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.651245,230.237277
283.0105217,62.0353437,0.9435,0.9082,-0.3716,15.805,null,1.9,6.596E-01,15.070,0.416,2.6,6.644E-01,1,0,0000,UC,10,59149.57888145,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.655014,86.287423
283.0058631,62.0343242,0.6299,0.6214,-0.2483,16.027,0.210,5.2,1.468E+00,14.753,null,1.9,1.165E+00,1,0,0000,BU,10,59150.75599332,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.659654,223.699013
283.0057174,62.0343908,1.5802,1.1696,-0.0573,16.754,0.413,2.6,9.827E-01,14.739,null,1.2,5.707E-01,1,0,0000,CU,10,58786.21729262,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.668887,227.917874
283.0094044,62.0363095,1.4776,1.6668,-1.0638,16.401,0.492,2.2,9.763E-01,15.659,null,-1.2,7.155E-01,1,0,0000,CU,10,58785.69393391,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.678371,36.138261
283.0058848,62.0343064,1.1013,1.1454,-0.2542,16.881,0.520,2.1,7.412E-01,15.261,0.389,2.8,7.724E-01,1,0,0000,CC,10,57696.49440692,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.681210,222.832963
283.0062275,62.0341784,0.7309,0.6462,0.0895,16.060,0.214,5.1,6.594E-01,14.884,null,1.6,4.250E-01,1,0,0000,BU,10,58983.15580847,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.684251,213.773837
283.0058283,62.0343164,0.4777,0.4462,-0.0838,15.526,0.170,6.4,1.062E+00,14.999,null,1.2,8.394E-01,1,0,0000,BU,10,57696.88737303,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.720600,223.979104
283.0059345,62.0342651,0.6393,0.6583,0.2381,15.711,0.266,4.1,9.108E-01,14.997,null,1.6,4.585E-01,1,0,0000,BU,5,58987.73385405,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.735998,220.865330
283.0057725,62.0343197,0.9224,0.8206,0.0814,16.183,0.305,3.6,4.637E-01,15.517,null,-1.7,5.845E-01,1,0,0000,BU,10,58419.20197853,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.778067,224.890942
283.0054612,62.0344904,0.4325,0.3943,0.1066,15.566,0.136,8.0,1.216E+00,15.156,0.365,3.0,6.397E-01,1,0,0000,BC,10,57700.94869822,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.782000,234.594586
283.0055541,62.0344301,0.6306,0.5237,-0.2805,15.881,0.185,5.9,7.349E-01,14.802,null,1.5,3.602E-01,1,0,0000,BU,10,58990.48027634,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.787442,231.387920
283.0059254,62.0342477,0.7750,0.8244,0.2777,15.831,0.322,3.4,5.017E-01,15.451,0.425,2.6,3.988E-01,1,0,0000,BC,10,57335.01547580,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.793512,220.514338
283.0058867,62.0342587,0.5065,0.4379,-0.0809,15.674,0.145,7.5,1.435E+00,15.075,null,1.6,7.679E-01,1,0,0000,BU,10,58062.26510059,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.806439,221.413133
283.0106065,62.0350887,0.1622,0.1571,0.0440,16.916,null,-1.0,1.882E+00,12.448,0.056,19.4,1.001E+01,1,0,0000,UA,0,56797.62769169,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.827972,97.337222
283.0064155,62.0340767,0.6075,0.5237,-0.0260,15.846,0.180,6.0,1.033E+00,15.298,0.388,2.8,5.682E-01,1,0,0000,BC,10,57345.77073227,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.834797,208.226751
283.0054731,62.0344547,0.8597,0.6627,-0.0751,15.809,0.243,4.5,1.325E+00,15.427,null,-0.1,6.837E-01,1,0,0000,BU,10,57527.14802969,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.841488,233.217054
283.0056222,62.0343678,0.5427,0.5242,-0.1662,15.910,0.179,6.1,8.131E-01,15.453,0.477,2.3,6.926E-01,1,0,0000,BC,10,57696.75646916,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.843879,228.465111
283.0050591,62.0348138,0.7309,0.6075,-0.4712,15.457,0.219,5.0,8.665E-01,15.254,null,0.6,1.179E+00,1,0,0000,BU,10,57895.12689209,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.850139,250.660144
283.0057823,62.0342855,0.5254,0.4793,0.0929,15.593,0.152,7.1,8.995E-01,15.322,0.512,2.1,7.170E-01,1,0,0000,BC,10,57696.62543796,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.854619,223.727015
283.0053427,62.0345353,0.5909,0.5269,-0.0341,15.780,0.172,6.3,9.074E-01,14.904,null,1.8,6.594E-01,1,0,0000,BU,5,57523.08582054,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.857715,237.516851
283.0049156,62.0350291,1.0836,0.9147,0.2138,16.500,0.309,3.5,1.021E+00,15.035,null,1.4,8.627E-01,1,0,0000,BU,10,57701.34166380,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4.889819,260.213790
283.0053038,62.0345429,0.6215,0.6144,-0.2418,15.960,0.197,5.5,1.193E+00,14.986,null,1.7,4.037E-01,1,0,0000,BU,10,58782.68493703,2842162001351037517,15.946,0.034,15.633,0.066,13.287,null,9.573,null,null,null,null,null,null,null,null,4.898762,238.199319
