ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
324.6018307,25.3786635,0.0730,0.0676,0.0203,12.454,0.031,35.4,1.299E+00,12.406,0.042,25.9,7.245E-01,1,0,0000,AA,10,57349.17244880,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.096120,277.531580
324.6018710,25.3786341,0.0655,0.0577,-0.0183,12.413,0.024,46.2,1.474E+00,12.553,0.049,22.0,6.084E-01,1,0,0000,AA,10,57901.42056858,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.099880,159.007002
324.6018368,25.3786787,0.0706,0.0609,-0.0162,12.459,0.026,41.3,9.636E-01,12.468,0.052,21.0,8.706E-01,1,0,0000,AA,10,58265.63255823,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.101102,311.737099
324.6018511,25.3786329,0.0612,0.0612,-0.0216,12.437,0.027,39.9,1.127E+00,12.461,0.050,21.7,8.404E-01,1,0,0000,AA,10,57349.36918653,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.101754,196.526667
324.6018404,25.3786373,0.0626,0.0655,-0.0087,12.381,0.025,43.0,9.219E-01,12.334,0.060,18.0,4.002E-01,1,0,0000,AA,10,57538.36037890,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.103640,217.958163
324.6018464,25.3786861,0.0581,0.0540,-0.0225,12.419,0.024,45.2,1.296E+00,12.406,0.052,20.9,6.121E-01,1,0,0000,AA,10,56809.54598628,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.103867,334.789575
324.6018302,25.3786712,0.0688,0.0774,-0.0232,12.418,0.029,37.8,2.721E+00,12.492,0.048,22.8,1.014E+00,1,0,0000,AA,10,57171.42110634,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.104998,292.586508
324.6018799,25.3786369,0.0655,0.0644,-0.0252,12.440,0.026,41.1,1.222E+00,12.400,0.054,20.1,4.601E-01,1,0,0000,AA,10,57537.83612895,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.105402,142.105104
324.6018438,25.3786855,0.0662,0.0658,0.0083,12.400,0.029,37.3,8.201E-01,12.511,0.054,20.3,9.046E-01,1,0,0000,AA,10,56986.58843228,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.105849,330.144826
324.6018544,25.3786305,0.0685,0.0610,-0.0203,12.441,0.024,45.0,1.127E+00,12.514,0.059,18.3,7.406E-01,1,0,0000,AA,10,58633.28867764,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.107751,189.732164
324.6018650,25.3786296,0.0565,0.0605,-0.0189,12.425,0.024,44.5,8.644E-01,12.470,0.045,24.3,6.656E-01,1,0,0000,AA,10,57349.36905921,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.110649,171.547633
324.6018277,25.3786484,0.0754,0.0707,-0.0280,12.490,0.031,34.9,9.382E-01,12.472,0.050,21.7,1.758E+00,1,0,0000,AA,10,58629.49426495,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.113056,248.322523
324.6018285,25.3786735,0.0589,0.0591,-0.0263,12.374,0.025,44.2,1.486E+00,12.468,0.057,19.0,8.524E-01,1,0,0000,AA,10,57538.49141010,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.113390,295.377259
324.6018300,25.3786430,0.0664,0.0626,-0.0204,12.416,0.026,41.3,1.915E+00,12.533,0.051,21.3,1.026E+00,1,0,0000,AA,10,58429.20589966,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.115167,237.904317
324.6018251,25.3786658,0.0627,0.0521,-0.0202,12.389,0.022,49.3,5.739E-01,12.426,0.043,25.4,9.007E-01,1,0,0000,AA,10,56987.24575177,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.115413,280.422506
324.6018453,25.3786306,0.0646,0.0562,-0.0234,12.424,0.024,44.7,6.266E-01,12.434,0.046,23.7,4.621E-01,1,0,0000,AA,10,57534.36362771,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.116147,204.310960
324.6018518,25.3786285,0.0627,0.0617,-0.0253,12.386,0.025,43.4,8.973E-01,12.458,0.047,23.1,1.086E+00,1,0,0000,AA,10,57535.08435738,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.116513,193.235170
324.6018384,25.3786329,0.0648,0.0580,-0.0163,12.407,0.024,45.6,8.053E-01,12.464,0.049,22.2,4.802E-01,1,0,0000,AA,10,57901.87885766,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.120224,215.758757
324.6018535,25.3786271,0.0645,0.0666,-0.0139,12.455,0.024,44.9,2.860E+00,12.507,0.055,19.6,1.041E+00,1,0,0000,AA,10,56809.28277938,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.120302,190.120822
324.6018380,25.3786330,0.0637,0.0567,-0.0156,12.379,0.023,47.6,2.274E+00,12.491,0.055,19.9,1.259E+00,1,0,0000,AA,5,58632.83077035,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.120694,216.359806
324.6018246,25.3786495,0.0559,0.0563,-0.0244,12.373,0.023,46.4,6.510E-01,12.466,0.047,23.1,3.765E-01,1,0,0000,AA,10,57348.84455260,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.121202,251.825414
324.6018289,25.3786410,0.0662,0.0650,-0.0123,12.426,0.026,42.2,2.132E+00,12.502,0.059,18.4,5.050E-01,1,0,0000,AA,10,57902.00976161,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.122095,235.933923
324.6018335,25.3786358,0.0589,0.0511,-0.0213,12.399,0.022,49.7,1.617E+00,12.409,0.042,25.7,7.002E-01,1,0,0000,AA,10,56808.29578459,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.122559,224.693693
324.6018497,25.3786272,0.0791,0.0671,0.0327,12.384,0.029,37.8,1.135E+00,12.480,0.055,19.8,4.188E-01,1,0,0000,AA,10,57901.68250264,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.122751,195.839676
324.6018229,25.3786666,0.0593,0.0525,-0.0212,12.418,0.022,48.9,9.142E-01,12.354,0.045,24.3,9.138E-01,1,0,0000,AA,10,56808.75636486,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.122982,281.139018
324.6018301,25.3786388,0.0637,0.0612,-0.0251,12.389,0.024,45.2,8.549E-01,12.548,0.056,19.4,6.834E-01,1,0,0000,AA,10,57171.15866316,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.123633,231.876472
324.6018288,25.3786397,0.0570,0.0556,-0.0185,12.423,0.023,48.0,5.837E-01,12.460,0.045,24.1,6.858E-01,1,0,0000,AA,10,57170.76493461,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.125039,234.240917
324.6018984,25.3786665,0.0719,0.0702,0.0231,12.452,0.028,38.1,1.942E+00,12.481,0.059,18.3,1.029E+00,1,0,0000,AA,10,57535.21538801,3250125701351015187,12.414,0.023,12.432,0.024,11.961,0.275,8.590,null,89929604,13.003,0.0218,12.622,0.0207,12.512,0.0256,0.127062,79.388575
