ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
324.6129372,25.3734761,0.5240,0.5266,-0.1106,15.368,0.162,6.7,9.813E-01,14.997,0.364,3.0,5.595E-01,1,0,0000,BC,10,57535.08435738,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.136960,46.150058
324.6122817,25.3738047,0.3527,0.3275,0.0724,14.968,0.107,10.1,1.276E+00,14.279,0.235,4.6,7.524E-01,1,0,0000,AB,10,57170.69935563,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.137434,11.872810
324.6125054,25.3737493,0.4918,0.5589,-0.1383,15.728,0.164,6.6,1.082E+00,14.990,null,0.2,5.237E-01,1,0,0000,BU,10,58068.67211116,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.160690,22.301013
324.6123239,25.3738130,0.6724,0.6604,-0.2235,15.753,0.220,4.9,3.284E-01,14.853,0.368,3.0,7.015E-01,1,0,0000,BC,10,58633.55035682,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.196873,13.623002
324.6121656,25.3738387,0.8690,0.8654,0.0360,15.946,0.282,3.9,1.156E+00,14.647,null,1.1,6.848E-01,1,0,0000,BU,10,57538.36037890,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.198119,6.477394
324.6125007,25.3737626,0.3293,0.2859,-0.0663,14.996,0.093,11.7,1.402E+00,14.641,0.300,3.6,3.889E-01,1,0,0000,AB,10,57170.89621993,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.199311,21.860119
324.6123949,25.3738031,0.3390,0.2973,-0.0681,15.068,0.103,10.5,1.346E+00,14.549,0.281,3.9,5.701E-01,1,0,0000,AB,10,57170.63377665,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.223056,16.783628
324.6125825,25.3737412,0.4760,0.4563,-0.1956,15.236,0.178,6.1,4.927E-01,14.725,null,1.1,6.961E-01,1,0,0000,BU,10,56986.58843228,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.235859,25.590965
324.6122965,25.3738364,0.4137,0.3875,-0.1508,15.332,0.137,8.0,8.997E-01,14.377,0.235,4.6,4.954E-01,1,0,0000,BB,10,57348.91013184,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.259083,12.190711
324.6124731,25.3737996,0.3901,0.3268,-0.0992,15.260,0.120,9.0,1.907E+00,14.398,0.199,5.4,8.346E-01,1,0,0000,BB,10,56808.88803204,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.291566,20.085303
324.6125924,25.3737544,0.2189,0.2397,-0.0773,14.794,0.098,11.1,1.113E+00,14.234,0.265,4.1,6.869E-01,1,0,0000,AB,10,57171.02750520,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.292635,25.704642
324.6123678,25.3738304,0.3299,0.3574,-0.0876,15.365,0.128,8.5,1.060E+00,14.409,0.229,4.8,3.027E-01,1,0,0000,BB,10,57349.23802802,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.293176,15.278413
324.6124726,25.3738003,0.3767,0.4165,-0.1935,15.446,0.146,7.4,7.714E-01,14.142,0.188,5.8,1.028E+00,1,0,0000,BB,5,57348.77897338,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.293374,20.053370
324.6124356,25.3738123,0.4282,0.3973,-0.1947,15.089,0.157,6.9,8.093E-01,14.616,0.222,4.9,7.487E-01,1,0,0000,BB,10,57170.56807036,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.294591,18.347195
324.6123481,25.3738424,0.3562,0.4058,-0.1983,15.292,0.124,8.7,6.714E-01,15.077,0.388,2.8,5.064E-01,1,0,0000,BC,10,57902.00988892,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.318584,14.307238
324.6124280,25.3738225,0.4069,0.3793,-0.1815,15.412,0.152,7.1,3.903E-01,14.584,0.207,5.2,9.542E-01,1,0,0000,BB,5,57349.63137612,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.321805,17.882882
324.6125034,25.3738052,0.8866,0.9870,0.0750,15.817,0.312,3.5,4.862E-01,15.275,0.489,2.2,5.580E-01,1,0,0000,BC,10,58068.60665941,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.345190,21.214623
324.6125535,25.3737981,0.6011,0.6237,-0.0472,15.662,0.284,3.8,8.950E-01,15.017,0.482,2.3,7.967E-01,1,0,0000,BC,5,57534.75684437,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.383296,23.321766
324.6127550,25.3737034,0.4228,0.3556,-0.1376,15.281,0.132,8.2,6.719E-01,14.485,0.227,4.8,5.731E-01,1,0,0000,BB,10,57901.74795425,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.391963,32.979958
324.6123962,25.3738546,0.3509,0.3704,-0.1480,15.246,0.121,9.0,1.501E+00,14.883,0.362,3.0,7.304E-01,1,0,0000,BC,10,56990.79543375,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.402056,16.139496
324.6123466,25.3738726,0.8706,1.1438,-0.3586,16.137,0.350,3.1,1.031E+00,14.771,null,1.6,4.935E-01,1,0,0000,BU,0,57535.21551538,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.422839,13.897936
324.6126667,25.3737615,1.3556,1.1134,0.4035,15.203,null,1.6,6.751E-01,14.797,null,1.0,5.662E-01,1,0,0000,UU,10,58266.61420630,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.425318,28.381479
324.6124005,25.3738640,0.6929,0.6309,-0.3601,15.847,0.201,5.4,1.102E+00,14.486,null,1.9,4.446E-01,1,0,0000,BU,10,57707.94911794,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.438453,16.191501
324.6124534,25.3738553,0.9806,0.8182,0.0651,16.029,0.337,3.2,6.780E-01,14.987,null,1.1,6.873E-01,1,0,0000,BU,5,58266.48330296,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.459751,18.427201
324.6125191,25.3738361,0.2872,0.3350,-0.0301,15.125,0.146,7.5,9.847E-01,14.259,0.155,7.0,6.346E-01,1,0,0000,BB,10,57349.23790066,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.467376,21.308925
324.6127003,25.3737646,0.9288,1.0070,-0.4588,16.279,0.304,3.6,7.923E-01,14.451,null,1.4,9.824E-01,1,0,0000,BU,10,58633.41958091,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.488008,29.541381
324.6124048,25.3738814,0.3545,0.3449,-0.1074,15.262,0.114,9.5,9.080E-01,14.869,0.410,2.6,6.208E-01,1,0,0000,BC,10,57902.07534064,3250125701351015621,15.471,0.041,14.581,0.051,12.451,0.397,8.946,0.431,null,null,null,null,null,null,null,4.502511,16.140149
